pub_date,abstract,snippet,lead_paragraph,web_url,section_name,headline
2014-03-18 16:05:00+00:00,Attorney General Eric Schneiderman announced an investigation into services that allow these traders to profit on information before other investors even see it.,Attorney General Eric Schneiderman announced an investigation into services that allow these traders to profit on information before other investors even see it.,"Updated, 9:34 p.m. | The New York attorney general, Eric T. Schneiderman, is expanding his crackdown on the high-frequency traders that dominate financial markets.",https://dealbook.nytimes.com/2014/03/18/schneiderman-announces-inquiry-into-services-for-high-speed-traders/,Business Day,"{'main': 'Inquiry Into High-Speed Trading Widens', 'kicker': 'DealBook', 'content_kicker': None, 'print_headline': 'Inquiry Into High-Speed Trading Widens', 'name': None, 'seo': None, 'sub': None}"
2014-03-25 11:06:17+00:00,Box expects to raise about $250 million in its initial public offering.,Box expects to raise about $250 million in its initial public offering.,"Box, an online storage service that aims to become an essential part of the cloud computing-based business, on Monday released financial data before a public offering, Quentin Hardy reports.",https://bits.blogs.nytimes.com/2014/03/25/daily-report-box-an-online-storage-company-files-for-public-stock-offering/,Technology,
2014-03-26 15:53:07+00:00,"Shares of two relatively unknown companies, Oculus Innovative Sciences and Oculus VisionTech, surged on Wednesday, possibly benefiting from a case of mistaken identity among investors.","Shares of two relatively unknown companies, Oculus Innovative Sciences and Oculus VisionTech, surged on Wednesday, possibly benefiting from a case of mistaken identity among investors.","Facebook’s $2 billion deal for Oculus VR, a virtual reality headset maker, made a splash in Silicon Valley. It also appears to be sending ripples through obscure corners of the stock market.",https://dealbook.nytimes.com/2014/03/26/after-facebooks-2-billion-deal-some-virtual-unreality-in-the-stock-market/,Business Day,
2014-03-28 20:58:02+00:00,"Michael J. Cavanagh, the longtime JPMorgan Chase executive who is preparing to join the Carlyle Group, will make $7 million in salary and bonus, and will also receive restricted stock worth $32 million.","Michael J. Cavanagh, the longtime JPMorgan Chase executive who is preparing to join the Carlyle Group, will make $7 million in salary and bonus, and will also receive restricted stock worth $32 million.","Michael J. Cavanagh, the longtime JPMorgan Chase executive who is preparing to join the Carlyle Group, will make $7 million in salary and bonus in each of his first three years at the private equity giant, a regulatory filing on Friday showed.",https://dealbook.nytimes.com/2014/03/28/cavanagh-to-receive-39-million-in-pay-for-joining-carlyle/,Business Day,
2014-03-31 15:17:30+00:00,"If there were any doubts that AT&T’s appetite was waning for a takeover bid for Vodafone, the latest announcement by AT&T for a potential stock buyback worth around $11 billion might erase them.","If there were any doubts that AT&T’s appetite was waning for a takeover bid for Vodafone, the latest announcement by AT&T for a potential stock buyback worth around $11 billion might erase them.","If there were any doubts that AT&T’s appetite was waning for a Vodafone takeover bid, the American telecommunications giant’s latest potential stock buyback might erase them.",https://dealbook.nytimes.com/2014/03/31/atts-stock-buyback-may-further-signal-waning-interest-in-vodafone-deal/,Business Day,
2014-03-31 16:22:58+00:00,Lewis Hamilton and Nico Rosberg finished first and second for the Mercedes Formula One team; Kurt Busch brought the first Sprint Cup win for the new Haas team.,Lewis Hamilton and Nico Rosberg finished first and second for the Mercedes Formula One team; Kurt Busch brought the first Sprint Cup win for the new Haas team.,"Lewis Hamilton and Nico Rosberg, teammates on the Mercedes-Benz Formula One team, finished one-two in the Malaysian Grand Prix Sunday, continuing the marque’s dominance in the early stages of the battle for the 2014 Formula One title. Hamilton, the pole position starter, led from green light to checkered flag, at which point he was more than 17 seconds ahead of his teammate. Rosberg, who won the season-opening round in Australia this month, now has a sizable lead in driving championship points.",https://www.nytimes.com/2014/04/01/automobiles/monday-motorsports-mercedes-sweep-at-malaysian-grand-prix.html,Automobiles,"{'main': 'Monday Motorsports: Mercedes Sweep at Malaysian Grand Prix', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}"
2014-03-31 20:38:40+00:00,"Presley’s 1973 Stutz Blackhawk III is used in a promotional event, but some Elvis fans say the car should have stayed at Graceland.","Presley’s 1973 Stutz Blackhawk III is used in a promotional event, but some Elvis fans say the car should have stayed at Graceland.","Richard Petty may be known as the King in Nascar circles, but to many other Americans that title is reserved for Elvis Presley, the King of Rock ‘n Roll. One of Mr. Presley’s cars, the 1973 Stutz Blackhawk III he was photographed driving not long before he died, on Aug. 16, 1977, has made its way into the Nascar realm as part of a promotion for the Charlotte Motor Speedway AutoFair to be held at the track from Thursday to Sunday.",https://www.nytimes.com/2014/04/01/automobiles/dale-earnhardt-jr-drives-the-last-car-driven-by-elvis.html,Automobiles,"{'main': 'Dale Earnhardt Jr. Drives the Last Car Driven by Elvis', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}"
2014-04-01 01:15:58+00:00,"A new book points out problems with high-frequency trading, but the fault lies with the markets themselves.","A new book points out problems with high-frequency trading, but the fault lies with the markets themselves.","“The United States stock market, the most iconic market in global capitalism, is rigged.”",https://dealbook.nytimes.com/2014/03/31/fault-runs-deep-in-ultrafast-trading/,Business Day,"{'main': 'Fault Runs Deep in Ultrafast Trading', 'kicker': 'DealBook', 'content_kicker': None, 'print_headline': 'Fault Goes Deep in Ultrafast Trades', 'name': None, 'seo': None, 'sub': None}"
2014-04-01 09:21:28+00:00,"The investment company Atlas Mara Co-Nvest has made its first purchase, a majority stake in a venture focused on the African financial sector for about $265 million in cash and shares.","The investment company Atlas Mara Co-Nvest has made its first purchase, a majority stake in a venture focused on the African financial sector for about $265 million in cash and shares.","LONDON – The investment company Atlas Mara Co-Nvest, backed by the former Barclays chief executive Robert E. Diamond Jr., has made its first purchase, a majority stake in a venture focused on the African financial sector.",https://dealbook.nytimes.com/2014/04/01/diamonds-new-venture-plans-to-acquire-african-bank/,Business Day,"{'main': 'Diamond’s New Venture Plans to Acquire African Bank', 'kicker': 'DealBook', 'content_kicker': None, 'print_headline': 'First Acquisition', 'name': None, 'seo': None, 'sub': None}"
2014-04-02 22:03:50+00:00,"Starting Thursday, the GOOG stock symbol will represent a new class of nonvoting shares. And the Standard & Poor’s 500-stock index will now reflect 501 stocks.","Starting Thursday, the GOOG stock symbol will represent a new class of nonvoting shares. And the Standard & Poor’s 500-stock index will now reflect 501 stocks.",The price of Google shares is going to be cut in half on Thursday.,https://economix.blogs.nytimes.com/2014/04/02/the-many-classes-of-google-stock/,Business Day,
